Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 10 [20480/49000 (42%)]	Train Loss: 1.322595	Val Loss: 1.300905	Val Acc: 54
Train Epoch: 10 [25600/49000 (52%)]	Train Loss: 1.345508	Val Loss: 1.301504	Val Acc: 54
Train Epoch: 10 [30720/49000 (62%)]	Train Loss: 1.306171	Val Loss: 1.305275	Val Acc: 54
Train Epoch: 10 [35840/49000 (73%)]	Train Loss: 1.259088	Val Loss: 1.293497	Val Acc: 54
Train Epoch: 10 [40960/49000 (83%)]	Train Loss: 1.361960	Val Loss: 1.286180	Val Acc: 55
Train Epoch: 10 [46080/49000 (94%)]	Train Loss: 1.306186	Val Loss: 1.294485	Val Acc: 55
Train Epoch: 11 [0/49000 (0%)]	Train Loss: 1.213741	Val Loss: 1.282865	Val Acc: 54
Train Epoch: 11 [5120/49000 (10%)]	Train Loss: 1.262064	Val Loss: 1.282714	Val Acc: 55
Train Epoch: 11 [10240/49000 (21%)]	Train Loss: 1.342162	Val Loss: 1.291302	Val Acc: 55
Train Epoch: 11 [15360/49000 (31%)]	Train Loss: 1.217800	Val Loss: 1.297763	Val Acc: 55
Train Epoch: 11 [20480/49000 (42%)]	Train Loss: 1.290277	Val Loss: 1.289472	Val Acc: 56
Train Epoch: 11 [25600/49000 (52%)]	Train Loss: 1.315242	Val Loss: 1.283665	Val Acc: 55
Train Epoch: 11 [30720/49000 (62%)]	Train Loss: 1.264899	Val Loss: 1.285812	Val Acc: 55
Train Epoch: 11 [35840/49000 (73%)]	Train Loss: 1.356445	Val Loss: 1.279809	Val Acc: 54
Train Epoch: 11 [40960/49000 (83%)]	Train Loss: 1.242831	Val Loss: 1.267650	Val Acc: 55
Train Epoch: 11 [46080/49000 (94%)]	Train Loss: 1.254931	Val Loss: 1.276728	Val Acc: 54
Train Epoch: 12 [0/49000 (0%)]	Train Loss: 1.277741	Val Loss: 1.274489	Val Acc: 55
Train Epoch: 12 [5120/49000 (10%)]	Train Loss: 1.276214	Val Loss: 1.281629	Val Acc: 55
Train Epoch: 12 [10240/49000 (21%)]	Train Loss: 1.263848	Val Loss: 1.272948	Val Acc: 54
